Section Name,Question Text,Response,Brand
Condition of Shipments,What three product types tend to have the most damages to the packaging?,HOODS GRILLS BRAKES,H
Condition of Shipments,What three product types tend to have the most damages to the product?,bumper absorbers. any plastic items not in a box secured. ie tabs broken such as resonator chambers carriers and washer bottles.  any sheet metal hoods fenders,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Body/trim parts, plastic parts and the heavier shipments",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"there seems to not be a trend on what packages are damaged, just random damage",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",mispicks and parts shoved into boxes that they don't fit in so the part is bent to make it fit. Windshield of course are always a big concern.,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"PLASTIC,GLASS,SHEET METAL",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"PLASTIC,GLASS,SHEET METAL",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",NOT RECIEVING THE PARTS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"deck lid , bumpers , foam abs",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",mis pick,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"tail gate , hoods , doors",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"doors, gates",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"bumpers, fenders, hoods",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",mis picks.,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","MISPICKS, OTHER DEALERS PARTS, PARTS NOT MAKING IT TO THE TRUCKS AT THE PDC.",H
Condition of Shipments,What three product types tend to have the most damages to the product?,HEAVY PARTS WITH PLASTIC CONNECTORS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"HEAVIER PARTS NOT PACKED TO PREVENT DAMAGE PARTS IN BAGS NOT PROTECTED AND HEVY PARTS PACKED ON TOP OF LIGHTER, MORE FAGILE PARTS",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,SHEET METAL    GLASS      PLASTIC PIECES,H
Condition of Shipments,What three product types tend to have the most damages to the product?,SHEET METAL   BUMPERS         PLASTIC PIECES,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MIS PICKS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,FACIAS DOORS AND HOODS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"bumpers, sheet metal, and glass",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"glass, sheet metal, bumpers",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","mispicks, and receive parts from different dealerships however that has been better",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","Mispicks, under-picks, sometimes we get other dealers items and those dealers sometimes get our stuff.",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Anything sent freight typically. Outside of that, typically heavier parts breaking other parts in the totes or boxes.",H
Condition of Shipments,What three product types tend to have the most damages to the product?,Items with tabs.,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",NOT SO MUCH ERRORS IN PICKING AS PARTS SHORTAGE OR MIS-ROUTED,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",shortage,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"big box items, sun roof rails, body parts, misc parts in large boxes boxes damaged.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",shortages. missing parts,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Steering gears(steering racks), CV axles, Alternators.",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Bumper covers, windshields, mouldings that come packaged in bags.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",Shortages,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","Mispicks for other dealers, shortages. I've had entire totes for other dealers mixed in with my parts inside of cage.",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Hoods (staples are constantly popping out, especially on the bottom), Car Care rotors (the cardboard being used on the gray boxes SUCK), bumper covers (wraps snag anything and evrything sharp).",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Bumper covers, fenders (upper corners are almost always poking through bottom of box), deck lids (sides are rolled over from either PDC or delivery personnel dropping them on their sides to stand tthem up).",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Carrier assemblies, radiators, compressors",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Radiators, bumper covers, compressors",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","Warehouse errors have been very rare, but if I had to pick one, I would have to say not receiving a packing list with shipment.",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"ALTERNATOR BOXES , TRIM PIECES,",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"WINDHIELDS, ROOF SKINS, SHEET METAL PANELS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","MY PARTS GET SENT TO OTHER DEALERS AND/OR LOST, LEFT ON THE DOCK OR THE PDC SHOWED QUANTITY ON HAND AND THE PART GETS CROSSED SHIPPED",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",diff dealership,H
Condition of Shipments,What three product types tend to have the most damages to the product?,fenders bumpers,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,fenders - bumpers,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"DOORS, BODY PANELS, LARGE THINGS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"BUMPERS, DOORS, TEXTURED TRIM",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",SHORTAGE,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",mispicks,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"intake manifolds, air filters and anything on fed ex",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"intake manifolds, air filters and anything shipped fed ex",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",Receive parts from other dealers,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Mirrors, Moldings, Bumper Covers",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,N/A,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",UNDER PICKS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"WIPER BLADES, WIPER BLADES, WHEEL HUBS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"WIPER MOTOR STUDS, MOLDINGS, BUMPERS",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,hEAVY PRODUCTS LIKE COMPRESSORS AND ALTERNATORS AND WHEEL BEARINGS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,BUMPER COVERS AND CARRIERS AND SHEET METAL,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",DIFFERENT DEALERS PARTS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",ALL,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"BUMPER COVERS , LARGE ITEMS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,BODY PARTS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"BUMPERS, WINDSHIELDS AND HEADLIGHTS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"BUMPERS, WINDSHIELDS AND HEADLIGHTS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPICKS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",Warehouse errors are few and far between. They do a great job.,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,Product damage all but never occurs because the warehouse uses a ton of packing filler.,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"bumper covers, deck lids, hoods",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"bumper covers, deck lids, hoods",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",mispicks,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",Under-pick,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,Air filters / soft boxes,H
Condition of Shipments,What three product types tend to have the most damages to the product?,Bumpers Radiators  Mirrors,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",shortages (not nearly as bad as it was recently but has gotten better with our new driver) we still get other dealers parts one label has us on it other label is them. all dealers orders are mixed when my driver gets his truck,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"hoods, seat tracks because they are heavy and come in a box they are usually destroyed, quarter panels especially when it is in the boxes",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"textured bumper covers, door panels, quarter panels",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"MOULDINGS,BODY PANELS",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,BODY PARTS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"GLASS,SHEET METAL AND BUMPER COVERS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",ALL THE ABOVE,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"GLASS, SHEET METAL AND BUMPER COVERS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",1. Under picks(not received at all). 2. Parts for different dealership (also common). 3. Parts packed together that should not be (fragile parts in same box as heavy parts),H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPICKS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,HOOD FACIAS DOORS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,MOLDINGS IN CLEAR BAGS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",parts for other dealers,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"glass, wheels",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"glass, wheels",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,SHEET METAL   BUMPERS   MOLDINGS,H
Condition of Shipments,What three product types tend to have the most damages to the product?,SHEET METAL  BUMPERS  MOLDINGS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",VERY LITTLE ISSUES,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPACKS (RIGHT LABELS WRONG PARTS) OVERAGES,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"GARNISHS, MOULDINGS, FLIMSY BODY PIECES",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"BODY PIECES, SEATS, A/C COMPRESSORS, TURBOCHARGERS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",THIS IS MINIMAL,H
Condition of Shipments,What three product types tend to have the most damages to the product?,SEE RESPONSE ABOVE,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"SHEET METAL, BUMPER COVERS IN PLASTIC BAG ISNT WORKING, NEED TO BE BOXED",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,BODY PARTS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",PICKED WRONG,H
Condition of Shipments,What three product types tend to have the most damages to the product?,BODY PARTS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",receive parts for different dealer,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Collision parts, brake pads and rotors, drive shafts.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",receiving other dealer parts,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Windshields, fascia, hood",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Windshields, fascia,",H
Condition of Shipments,What three product types tend to have the most damages to the product?,HOODS / DOOR SHELLS / FENDERS (ADDED NOTE: SINCE WE ARE A DELEARSHIP IN HAWAII / WE ASSUME THAT PARTS ARE HANDLED BY MANY HANDS BEFORE SHIPMENT ARRIVES. THUS CAUSING HIGHER DAMAGE RATE THAN OTHER DEALERS) DAMAGE TO PANELS OFTEN LOOKS LIKE PANELS HAVE BEEN DROPPED OR ROLLED OVER END OVER END,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,DOOR SHELLS / HOODS / MOULDINDS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPICKS (BUT VERY FEW),H
Condition of Shipments,What three product types tend to have the most damages to the product?,SAME AS ABOVE,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MIS PICKS AND WRONG DEALER ITEMS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,DOORS BUMPER COVERS AND DOOR SKINS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPICKS MOST COMMON #2 POOR PACKING #3 PARTS FOR OTHER DEALERS,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"steering racks, brake pads, radiator supports",H
Condition of Shipments,What three product types tend to have the most damages to the product?,radiator supports,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",all of the above,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","MISPICKS.  PICK LABEL SHOWS CORRECT PART NUMBER, BLUE/WHITE LABEL SHOWS DIFFERENT PART NUMBER",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"BUMPER COVERS, SHEET METAL, MOULDINGS",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"BUMPER COVERS, SHEET METAL, BELT MOLDINGS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",over-picks,H
Condition of Shipments,What three product types tend to have the most damages to the product?,small parts that are being placed in bulk boxes and having heavier (brake pads and such) parts placed on top of them,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"doors, condensers, bulk boxes that are fairly empty",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,BUMPERS AND SHEET METAL,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"HEAVY ITEMS, BUMPERS AND SHEET METAL",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPICKS,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",no packing slips!!,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,heavy items,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"window regulators, windshields and door handles",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Bumpers, Cowls, and sheet metal",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"Steering Rack boxes, Rotors, and Fenders",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"HOODS, FENDERS& HEADLIGHTS",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"MOLDINGS,HOODS,& HEADLINERS",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",RECEIVE PARTS FROM DIFFERENT DEALERSHIP,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"compressors, alternators, bumpers",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",mispick,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"Bumpers , cowls, fenders,",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"BUMPER COVER , RADIATOR SUPPORTS,",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",MISPICK,H
Condition of Shipments,What three product types tend to have the most damages to the product?,"BUMPER COVERS, HOODS AND TRUNK LIDS.",H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?",UNFORTUNATELY ALL OF THE ABOVE.,H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,"BUMPER COVERS, HOODS AND TRUNK LIDS.",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,heavier boxes.,H
Condition of Shipments,"What is the most common warehouse error you encounter (e.g., mispicks, under-picks, over-picks, receive parts for different dealer, etc.)?","mispicks, parts for different dealerships",H
Condition of Shipments,What three product types tend to have the most damages to the product?,"bumpers, moldings in bags",H
Condition of Shipments,What three product types tend to have the most damages to the packaging?,cargo screens and body panels,H
